Data a almacenar [x,y]:
1447.455,2031.601
1401.975,2037.506
1356.701,2038.863
1311.679,2042.906
1270.937,2048.814
1229.255,2053.430
1189.187,2061.031
1149.072,2067.660
1111.011,2074.473
1069.947,2080.217
1031.842,2083.767
993.499,2093.190
953.067,2094.341
914.526,2097.008
878.836,2105.442
842.407,2108.170
804.196,2110.471
765.809,2113.005
729.536,2113.110
694.232,2118.920
658.816,2129.937
622.452,2131.211
586.081,2131.389
552.360,2140.634
517.788,2146.429
2067.206,9193.965
Inf,Inf
Inf,Inf
-36.388,2223.702
-251.434,3968.793
-1255.615,-8951.871
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-3424.977,5331.112
Inf,Inf
Inf,Inf
-9808.854,9116.943
Inf,Inf
-9.033,127.680
Inf,Inf
Inf,Inf
Inf,Inf
-<364.113,5777.799
Inf,Inf
Inf,Inf
-627.483,2391.293
-3289.254,-2222.547
Inf,Inf
-114.532,436.473
-@059.699,797.741
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-?089.936,-5872.892
Inf,Inf
-:926.892,-4599.555
Inf,Inf
12.487,-9.598
Inf,Inf
-152.118,507.439
-3411.209,-2746.972
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-366.565,743.831
-3757.054,-9409.673
Inf,Inf
-1273.301,2742.308
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
3213.979,-=733.179
Inf,Inf
Inf,Inf
-2771.741,5428.864
Inf,Inf
-7737.244,=949.386
-2015.815,3422.175
Inf,Inf
749.478,-859.332
22.866,-18.239
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-564.365,1376.280
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-7660.522,-5203.641
Inf,Inf
1646.949,997.550
3263.569,2270.616
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-5357.244,1030.733
Inf,Inf
-3842.008,-2618.997
Inf,Inf
1448.307,3703.371
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1166.020,3802.749
Inf,Inf
Inf,Inf
Inf,Inf
-2045.884,3192.151
Inf,Inf
-1842.126,6800.673
Inf,Inf
-6269.919,-7522.044
Inf,Inf
Inf,Inf
-66.821,@335.363
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-3132.513,-386.358
Inf,Inf
Inf,Inf
-42.133,5517.839
Inf,Inf
-:035.344,-6780.876
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-6454.051,-7556.725
-4043.510,-2737.018
-8969.798,-6071.581
Inf,Inf
Inf,Inf
-6375.824,>061.544
Inf,Inf
Inf,Inf
-1220.827,2625.547
-2731.053,5754.015
-719.637,-487.116
3094.883,-6835.510
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
1320.248,-904.733
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
?363.013,2514.931
-3065.250,2529.605
Inf,Inf
-9593.366,-6520.408
Inf,Inf
Inf,Inf
Inf,Inf
-3884.143,855.539
Inf,Inf
Inf,Inf
-2049.208,786.617
827.827,5809.818
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
->511.100,6309.605
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
-<700.399,-2125.319
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1727.545,6377.667
Inf,Inf
-3675.767,=658.536
Inf,Inf
-1271.656,4777.141
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-629.469,2563.343
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-3550.239,=574.932
Inf,Inf
-401.075,1564.921
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-3825.218,>561.448
Inf,Inf
-20.115,76.913
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-536.614,2058.713
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-3351.819,-1357.413
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-3565.896,7746.136
-6606.038,>237.589
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-5117.696,:835.749
Inf,Inf
-4549.128,9405.087
-1153.844,2373.942
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-6359.937,<507.365
Inf,Inf
-5801.383,;211.454
-1637.641,3133.351
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-3329.500,5855.030
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-4882.050,7455.227
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-3963.550,9942.594
-1034.624,2566.828
-3450.425,8493.386
-517.516,1257.146
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-<075.564,:026.437
Inf,Inf
-;264.887,9198.678
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-8811.009,6730.435
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-;400.956,7501.496
-3723.136,2403.423
-:250.075,6451.696
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
->189.116,7288.300
Inf,Inf
-=231.926,6337.903
-5309.086,2431.739
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-:126.046,3468.153
Inf,Inf
-8921.300,2610.883
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-=284.980,2507.222
Inf,Inf
-<342.613,2648.139
-3823.795,860.852
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-567.643,166.292
-8168.365,2448.684
-?371.764,4717.962
-7158.672,2248.537
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-<033.957,4217.180
Inf,Inf
-2959.968,1081.913
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-7728.558,2947.387
->761.657,5698.825
-6393.438,2496.312
-=550.337,5282.206
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-:328.148,4032.617
-2218.839,870.530
-9366.271,3680.624
-1027.595,402.193
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-=145.593,4906.765
Inf,Inf
-<107.569,4391.842
-4051.934,1449.805
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-8962.280,2912.021
-441.473,141.184
-?264.632,4630.476
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-3190.135,760.365
-:567.669,2376.078
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2589.812,9592.029
Inf,Inf
-2719.907,:217.680
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2031.383,8282.012
-3170.110,<879.084
-2685.929,:873.682
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-780.634,2788.284
-2513.413,8949.250
-885.023,3157.824
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1612.070,6275.758
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-475.006,1810.215
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1636.019,6269.558
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-29.606,205.376
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-894.010,6805.025
-1377.520,:485.401
-1963.179,>911.827
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2141.869,8254.129
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2582.219,8529.183
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-8208.172,=677.582
-3359.767,5689.553
-7573.925,=011.676
-2775.911,4844.562
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2024.514,3797.558
-5417.685,:256.562
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-4302.428,8670.745
Inf,Inf
-3573.867,7317.380
-2872.220,5950.580
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-3574.335,7883.007
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-4819.620,:691.375
-1822.304,4039.480
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-6757.318,>731.656
Inf,Inf
-6582.732,>248.379
-2731.947,5875.404
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-5345.595,;294.339
Inf,Inf
-4402.599,9191.505
-761.307,1568.503
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2548.413,4968.003
-5665.752,:993.375
-1696.045,3247.254
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
